ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_3.8,sherlock_doyle3,narrator_3.2,direct-speech,self_perception,«Le mie finte sono magnifiche»
narr_seg_expr_3.9,sherlock_doyle3,narrator_3.2,direct-speech,psych_prof_8,"«Lei sa che i miei nervi sono a prova di bomba, Watson»"
narr_seg_expr_3.10,sherlock_doyle3,narrator_3.2,direct-speech,expertise_5,«Tutto quello che ho da dirle ha già attraversato la sua mente»
narr_seg_expr_3.11,sherlock_doyle3,narrator_3.2,direct-speech,methodology,«Il pericolo è parte del mio mestiere»»
narr_seg_expr_3.12,sherlock_doyle3,narrator_3.2,narrated-speech,attitude_12,"«Avevo molte volte ammirato il coraggio del mio amico, ma mai come in quel momento in cui mi stava enumerando con la massima tranquillità una serie di incidenti che avevano disseminato la sua giornata di pericoli continui»"
narr_seg_expr_3.12,,,,psych_prof_8,
narr_seg_expr_3.13,sherlock_doyle3,narrator_3.2,direct-speech,exist_outlook,"«Penso di poter affermare senza falsa modestia, Watson, di non avere speso la mia vita del tutto invano»"
narr_seg_expr_3.14,sherlock_doyle3,narrator_3.2,direct-speech,attitude_13,"«Se la mia attività terminasse stanotte, considererei la cosa con equanimità»"
narr_seg_expr_3.15,sherlock_doyle3,narrator_3.2,direct-speech,principle,"«[…] in più di mille casi, credo di non avere mai fatto uso una sola volta delle mie forze a favore dell’ingiustizia»"
narr_seg_expr_3.16,sherlock_doyle3,narrator_3.2,direct-speech,methodology,"«In questi ultimi tempi ho cercato di penetrare nei misteri della natura, piuttosto che in quelli più superficiali di cui è responsabile il nostro artificioso stato sociale»"
narr_seg_expr_3.17,sherlock_doyle3,narrator_3.2,narrated-speech,recur_p_obj_4,"«Dalla cima di questo spalto di roccia il bagliore di un oggetto luccicante colpì la mia vista, e alzando una mano mi accorsi che quell’oggetto altro non era che il portasigarette d’argento di Holmes»"
narr_seg_expr_3.18,sherlock_doyle3,narrator_3.2,narrated-speech,skill_3,"«Era tipico dell’uomo che il tracciato fosse preciso e la calligrafia chiara e ferma, come se avesse scritto quel supremo appello tranquillamente seduto nel suo studio»"
narr_seg_expr_4.1,sherlock_doyle4,narrator_4.1,narrated-speech,name,"«La plus étrange parmi ces affaires, toutes résolues grâce à l'habileté d e Sherlock Holmes, l'une des plus révélatrices aussi du talent de détection de mon illustre ami, me paraît être l'affaire du Loup chantant de Forest Gate»"
narr_seg_expr_4.1,,,,expertise_1,
narr_seg_expr_4.2,sherlock_doyle4,narrator_4.1,narrated-speech,emo_state_3,«Holmes traversait une des ces périodes d’ennui qui ne lui sont pas inhabituelles et qui le faisaient déplorer la disparition de James Moriarty»
narr_seg_expr_4.2,,,,need_4,
narr_seg_expr_4.3,sherlock_doyle4,narrator_4.2,narrated-speech,habit_5,«Son Stradivarius même ne le distrayait plus»
narr_seg_expr_4.4,sherlock_doyle4,narrator_4.2,narrated-speech,habit_6,"«je l'avais trouvé, au retour d' une visite urgente chez un client de Kensington, affalé dans son fauteuil, exactement dans la position où je l’avais quitté trois heures plus tôt»"
narr_seg_expr_4.5,sherlock_doyle4,narrator_4.2,narrated-speech,habit_1,«Mais le tabac contenu dans la babouche persane»
narr_seg_expr_4.5,,,,recur_p_obj_5,
narr_seg_expr_4.6,sherlock_doyle4,narrator_4.2,narrated-speech,habit_1,"«Malgré la température qui régnait au-dehors, j'ouvris la fenêtre pour dissiper la fumée du tabac plus épaisse que le brouillard extérieur»"
narr_seg_expr_4.7,sherlock_doyle4,narrator_4.2,narrated-speech,habit_4,"«Je jetai un coup d'œil au flacon de cocaïne dont le niveau était resté le même, sur le manteau de la cheminée»"
narr_seg_expr_4.8,sherlock_doyle4,narrator_4.2,narrated-speech,emo_state_1,"«Je craignais que mon ami, à l'occasion de cette période de dépression, ne fût retombé dans la funeste habitude dont j'avais eu le plus grand mal à le guérir»"
narr_seg_expr_4.8,,,,habit_4,
narr_seg_expr_4.9,sherlock_doyle4,narrator_4.2,narrated-speech,recur_p_obj_3,«Holmes s'occupait maintenant à les trier et à les mettre à sécher: ils constitueraient sa première pipe du matin»
narr_seg_expr_4.10,sherlock_doyle4,narrator_4.2,narrated-speech,emo_state_4,«l'hébétude de Sherlock Holmes n'était qu'apparente et son état de prostration physique et mentale n'empêchait nullement le prodigieux cerveau de noter le plus infime détail»
narr_seg_expr_4.10,,,,emo_state_5,
narr_seg_expr_4.10,,,,expertise_2,
narr_seg_expr_4.11,sherlock_doyle4,narrator_4.2,narrated-speech,expertise_3,«et d'en déduire le cours de mes pensées avec une virtuosité que n'aurait pas renié le Chevalier Auguste Dupin»
narr_seg_expr_4.12,sherlock_doyle4,narrator_4.2,narrated-speech,expertise_3,«Décidément mes processus mentaux ne semblaient avoir aucun secret pour ce diable d'homme»
